"","inmateid","release_date_approx","order_adm_times"
"672",20025194,"2019-10-24",1
"673",20196072,"2019-12-05",1
"674",20200028,"2019-12-05",1
"675",17900,"2020-01-28",1
"676",30706,"2020-03-04",1
"677",35200,"2019-11-26",1
"678",46807,"2020-01-17",1
"679",115647,"2019-12-13",1
"680",130123,"2019-12-11",1
"681",20024420,"2020-01-09",1
"682",20102150,"2020-02-28",1
"683",161777,"2019-11-16",1
"684",20120372,"2019-12-03",1
"685",20124895,"2019-11-04",1
"686",20167978,"2020-12-22",1
"687",20182507,"2020-06-11",1
"688",20191457,"2020-03-26",1
"689",20203535,"2019-11-23",1
"690",20203551,"2019-12-04",1
"691",20203562,"2019-11-07",1
"692",16022,"2019-11-28",1
"693",73271,"2019-10-12",1
"694",146558,"2019-12-10",1
"695",163962,"2020-10-29",1
"696",20178679,"2019-11-16",1
"697",20193661,"2020-01-09",1
"698",20203585,"2021-01-27",1
"699",20203590,"2019-12-06",1
"700",20203603,"2019-12-11",1
"701",90419,"2019-12-05",1
"702",170118,"2019-12-09",1
"703",20034397,"2019-12-31",1
"704",20084362,"2019-10-11",1
"705",20160421,"2021-04-14",1
"706",20189125,"2019-10-11",1
"707",20125060,"2019-10-10",1
"708",20160299,"2019-12-11",1
"709",54467,"2019-10-11",1
"710",20138568,"2019-11-15",1
"711",20203648,"2019-12-20",1
"712",6895,"2019-12-13",1
"713",10016064,"2020-01-31",1
"714",20173552,"2019-10-17",1
"715",20203661,"2021-02-25",1
"716",106262,"2019-11-08",1
"717",20088618,"2019-12-11",1
"718",20128634,"2019-12-06",1
"719",20179436,"2019-11-20",1
"720",20193953,"2019-12-03",1
"721",7823,"2019-12-13",1
"722",160160,"2020-02-03",1
"723",20203724,"2020-06-23",1
"724",17321,"2020-01-24",1
"725",20052516,"2020-01-23",1
"726",20079203,"2019-11-06",1
"727",20158035,"2019-12-16",1
"728",20159290,"2020-03-21",1
"729",20171200,"2019-12-16",1
"730",20203729,"2020-04-28",1
"731",11643,"2019-12-20",1
"732",10004355,"2019-11-25",1
"733",20178383,"2019-12-21",1
"734",21372,"2019-11-08",1
"735",20156750,"2020-01-29",1
"736",79088,"2020-01-15",1
"737",89321,"2019-11-19",1
"738",20199891,"2020-07-21",1
"739",30851,"2019-12-21",1
"740",53423,"2019-12-31",1
"741",20065826,"2020-01-09",1
"742",20108791,"2020-04-21",1
"743",20186712,"2021-01-26",1
"744",20203827,"2020-05-19",1
"745",20203841,"2020-02-24",1
"746",72871,"2020-06-30",1
"747",146898,"2020-02-12",1
"748",156012,"2019-12-21",1
"749",20006222,"2019-12-13",1
"750",20092939,"2019-10-18",1
"751",20165464,"2020-10-14",1
"752",20171254,"2019-12-04",1
"753",3315,"2019-12-23",1
"754",168236,"2021-04-15",1
"755",20062646,"2019-12-11",1
"756",20084867,"2020-02-21",1
"757",15582,"2020-01-22",1
"758",112136,"2020-02-13",1
"759",114044,"2021-04-08",1
"760",126511,"2019-10-24",1
"761",82980,"2019-10-24",1
"762",20035895,"2019-10-11",1
"763",20158488,"2019-10-29",1
"764",150969,"2019-12-26",1
"765",20118815,"2019-12-24",1
"766",20125764,"2019-12-27",1
"767",20137711,"2020-02-27",1
"768",20196431,"2021-06-07",1
"769",15716,"2020-03-15",1
"770",75939,"2020-09-16",1
"771",106988,"2020-03-28",1
"772",170146,"2019-12-30",1
"773",20203966,"2019-12-12",1
"774",109754,"2019-12-24",1
"775",20047291,"2020-03-17",1
"776",20103454,"2020-01-22",1
"777",20189129,"2019-10-11",1
"778",20203978,"2019-12-10",1
