"","50 Years and Over","n_per_day_date","n_per_day_age_date","date_"
"330",TRUE,4317,660,2021-02-14
"331",TRUE,5076,685,2022-02-20
"332",TRUE,4380,672,2021-02-21
"333",TRUE,5141,691,2022-02-27
"334",TRUE,4450,668,2021-02-28
"335",TRUE,4717,648,2022-01-02
"336",TRUE,3896,594,2021-01-03
"337",TRUE,4804,663,2022-01-09
"338",TRUE,3981,606,2021-01-10
"339",TRUE,4042,617,2021-01-17
"340",TRUE,4131,639,2021-01-24
"341",TRUE,4211,664,2021-01-31
"342",TRUE,5245,642,2022-07-03
"343",TRUE,4950,741,2021-07-04
"344",TRUE,5297,650,2022-07-10
"345",TRUE,5008,756,2021-07-11
"346",TRUE,5298,659,2022-07-17
"347",TRUE,4999,746,2021-07-18
"348",TRUE,5333,663,2022-07-24
"349",TRUE,5056,768,2021-07-25
"350",TRUE,5371,683,2022-07-31
"351",TRUE,5105,627,2022-06-05
"352",TRUE,4811,730,2021-06-06
"353",TRUE,5159,636,2022-06-12
"354",TRUE,4856,745,2021-06-13
"355",TRUE,5212,650,2022-06-19
"356",TRUE,4919,735,2021-06-20
"357",TRUE,5269,652,2022-06-26
"358",TRUE,4957,737,2021-06-27
"359",TRUE,5146,696,2022-03-06
"360",TRUE,4503,673,2021-03-07
"361",TRUE,5122,701,2022-03-13
"362",TRUE,4576,676,2021-03-14
"363",TRUE,5102,692,2022-03-20
"364",TRUE,4612,678,2021-03-21
"365",TRUE,5073,690,2022-03-27
"366",TRUE,4711,711,2021-03-28
"367",TRUE,4974,657,2022-05-01
"368",TRUE,4717,720,2021-05-02
"369",TRUE,5007,653,2022-05-08
"370",TRUE,4674,700,2021-05-09
"371",TRUE,5051,651,2022-05-15
"372",TRUE,4675,709,2021-05-16
"373",TRUE,5065,643,2022-05-22
"374",TRUE,4703,708,2021-05-23
"375",TRUE,5080,633,2022-05-29
"376",TRUE,4767,728,2021-05-30
"377",TRUE,5636,757,2022-11-06
"378",TRUE,4760,690,2021-11-07
"379",TRUE,5648,755,2022-11-13
"380",TRUE,4760,690,2021-11-14
"381",TRUE,5670,765,2022-11-20
"382",TRUE,4769,697,2021-11-21
"383",TRUE,5636,759,2022-11-27
"384",TRUE,4736,683,2021-11-28
"385",TRUE,5576,762,2022-10-02
"386",TRUE,4897,706,2021-10-03
"387",TRUE,5575,760,2022-10-09
"388",TRUE,4861,694,2021-10-10
"389",TRUE,5583,771,2022-10-16
"390",TRUE,5139,771,2021-10-17
"391",TRUE,5607,756,2022-10-23
"392",TRUE,4827,694,2021-10-24
"393",TRUE,5657,761,2022-10-30
"394",TRUE,4802,686,2021-10-31
"395",TRUE,5418,721,2022-09-04
"396",TRUE,5254,773,2021-09-05
"397",TRUE,5542,740,2022-09-11
"398",TRUE,5279,781,2021-09-12
"399",TRUE,5583,764,2022-09-18
"400",TRUE,5246,772,2021-09-19
"401",TRUE,5533,753,2022-09-25
"402",TRUE,4993,729,2021-09-26
"403",TRUE,4703,702,2021-04-01
"404",TRUE,5048,660,2022-04-07
"405",TRUE,4691,709,2021-04-08
"406",TRUE,5045,654,2022-04-14
"407",TRUE,4698,716,2021-04-15
"408",TRUE,5016,652,2022-04-21
"409",TRUE,4704,715,2021-04-22
"410",TRUE,5018,671,2022-04-28
"411",TRUE,4717,720,2021-04-29
"412",TRUE,5351,688,2022-08-04
"413",TRUE,5084,764,2021-08-05
"414",TRUE,5397,704,2022-08-11
"415",TRUE,5100,767,2021-08-12
"416",TRUE,5388,716,2022-08-18
"417",TRUE,5205,777,2021-08-19
"418",TRUE,5381,716,2022-08-25
"419",TRUE,5219,774,2021-08-26
"420",TRUE,5659,754,2022-12-01
"421",TRUE,4701,673,2021-12-02
"422",TRUE,5677,764,2022-12-08
"423",TRUE,4785,684,2021-12-09
"424",TRUE,5671,750,2022-12-15
"425",TRUE,4767,686,2021-12-16
"426",TRUE,5567,723,2022-12-22
"427",TRUE,4767,669,2021-12-23
"428",TRUE,5505,721,2022-12-29
"429",TRUE,4718,648,2021-12-30
"430",TRUE,4240,667,2021-02-04
"431",TRUE,5003,661,2022-02-10
"432",TRUE,4283,668,2021-02-11
"433",TRUE,5065,675,2022-02-17
"434",TRUE,4367,673,2021-02-18
"435",TRUE,5149,681,2022-02-24
"436",TRUE,4414,673,2021-02-25
"437",TRUE,4775,658,2022-01-06
"438",TRUE,3938,608,2021-01-07
"439",TRUE,4815,661,2022-01-13
"440",TRUE,4035,618,2021-01-14
"441",TRUE,4099,627,2021-01-21
"442",TRUE,4181,646,2021-01-28
"443",TRUE,4970,745,2021-07-01
"444",TRUE,5300,639,2022-07-07
"445",TRUE,5017,751,2021-07-08
"446",TRUE,5327,654,2022-07-14
"447",TRUE,4990,747,2021-07-15
"448",TRUE,5337,659,2022-07-21
"449",TRUE,5071,763,2021-07-22
"450",TRUE,5365,672,2022-07-28
"451",TRUE,5082,769,2021-07-29
"452",TRUE,5119,630,2022-06-02
"453",TRUE,4805,727,2021-06-03
"454",TRUE,5159,636,2022-06-09
"455",TRUE,4842,736,2021-06-10
"456",TRUE,5207,639,2022-06-16
"457",TRUE,4888,739,2021-06-17
"458",TRUE,5212,650,2022-06-23
"459",TRUE,4978,752,2021-06-24
"460",TRUE,5269,650,2022-06-30
"461",TRUE,5146,696,2022-03-03
"462",TRUE,4479,670,2021-03-04
"463",TRUE,5160,704,2022-03-10
"464",TRUE,4544,681,2021-03-11
"465",TRUE,5118,700,2022-03-17
"466",TRUE,4616,672,2021-03-18
"467",TRUE,5088,686,2022-03-24
"468",TRUE,4689,699,2021-03-25
"469",TRUE,5026,668,2022-03-31
"470",TRUE,5011,658,2022-05-05
"471",TRUE,4681,703,2021-05-06
"472",TRUE,5025,648,2022-05-12
"473",TRUE,4693,701,2021-05-13
"474",TRUE,5111,663,2022-05-19
"475",TRUE,4689,705,2021-05-20
"476",TRUE,5093,641,2022-05-26
"477",TRUE,4745,721,2021-05-27
"478",TRUE,5677,763,2022-11-03
"479",TRUE,4781,692,2021-11-04
"480",TRUE,5668,760,2022-11-10
"481",TRUE,4760,690,2021-11-11
"482",TRUE,5685,766,2022-11-17
"483",TRUE,4765,695,2021-11-18
"484",TRUE,5627,755,2022-11-24
"485",TRUE,4736,683,2021-11-25
"486",TRUE,5575,757,2022-10-06
"487",TRUE,4852,695,2021-10-07
"488",TRUE,5631,765,2022-10-13
"489",TRUE,4884,705,2021-10-14
"490",TRUE,5627,767,2022-10-20
"491",TRUE,4849,700,2021-10-21
"492",TRUE,5630,754,2022-10-27
"493",TRUE,4827,694,2021-10-28
"494",TRUE,5435,726,2022-09-01
"495",TRUE,5274,778,2021-09-02
"496",TRUE,5531,731,2022-09-08
"497",TRUE,5271,776,2021-09-09
"498",TRUE,5585,765,2022-09-15
"499",TRUE,5335,789,2021-09-16
"500",TRUE,5570,765,2022-09-22
"501",TRUE,5097,754,2021-09-23
