"","date_","n_per_day_age_date","n_per_day_date","age_var"
"391",2020-07-10,758,2407,"30-39"
"392",2020-07-10,323,2407,"all ages 50+"
"393",2020-07-10,422,2407,"40-49"
"394",2020-07-10,690,2407,"22-29"
"395",2020-07-10,214,2407,"21 and under"
"396",2022-07-15,1554,5321,"22-29"
"397",2022-07-15,1648,5321,"30-39"
"398",2022-07-15,970,5321,"40-49"
"399",2022-07-15,650,5321,"all ages 50+"
"400",2022-07-15,499,5321,"21 and under"
"401",2021-07-16,1593,4986,"30-39"
"402",2021-07-16,405,4986,"21 and under"
"403",2021-07-16,861,4986,"40-49"
"404",2021-07-16,742,4986,"all ages 50+"
"405",2021-07-16,1374,4986,"22-29"
"406",2020-07-17,748,2421,"30-39"
"407",2020-07-17,698,2421,"22-29"
"408",2020-07-17,332,2421,"all ages 50+"
"409",2020-07-17,419,2421,"40-49"
"410",2020-07-17,224,2421,"21 and under"
"411",2022-07-22,1554,5345,"22-29"
"412",2022-07-22,493,5345,"21 and under"
"413",2022-07-22,1659,5345,"30-39"
"414",2022-07-22,978,5345,"40-49"
"415",2022-07-22,661,5345,"all ages 50+"
"416",2021-07-23,1627,5053,"30-39"
"417",2021-07-23,759,5053,"all ages 50+"
"418",2021-07-23,402,5053,"21 and under"
"419",2021-07-23,862,5053,"40-49"
"420",2021-07-23,1391,5053,"22-29"
"421",2020-07-24,764,2461,"30-39"
"422",2020-07-24,334,2461,"all ages 50+"
"423",2020-07-24,427,2461,"40-49"
"424",2020-07-24,700,2461,"22-29"
"425",2020-07-24,235,2461,"21 and under"
"426",2022-07-29,1573,5371,"22-29"
"427",2022-07-29,1638,5371,"30-39"
"428",2022-07-29,683,5371,"all ages 50+"
"429",2022-07-29,974,5371,"40-49"
"430",2022-07-29,497,5371,"21 and under"
"431",2021-07-30,1633,5078,"30-39"
"432",2021-07-30,1397,5078,"22-29"
"433",2021-07-30,767,5078,"all ages 50+"
"434",2021-07-30,404,5078,"21 and under"
"435",2021-07-30,866,5078,"40-49"
"436",2020-07-31,771,2503,"30-39"
"437",2020-07-31,349,2503,"all ages 50+"
"438",2020-07-31,243,2503,"21 and under"
"439",2020-07-31,423,2503,"40-49"
"440",2020-07-31,716,2503,"22-29"
"441",2022-06-03,1507,5105,"22-29"
"442",2022-06-03,1586,5105,"30-39"
"443",2022-06-03,492,5105,"21 and under"
"444",2022-06-03,892,5105,"40-49"
"445",2022-06-03,627,5105,"all ages 50+"
"446",2021-06-04,828,4782,"40-49"
"447",2021-06-04,1534,4782,"30-39"
"448",2021-06-04,1299,4782,"22-29"
"449",2021-06-04,389,4782,"21 and under"
"450",2021-06-04,727,4782,"all ages 50+"
"451",2020-06-05,703,2370,"22-29"
"452",2020-06-05,722,2370,"30-39"
"453",2020-06-05,326,2370,"all ages 50+"
"454",2020-06-05,229,2370,"21 and under"
"455",2020-06-05,390,2370,"40-49"
"456",2022-06-10,1519,5159,"22-29"
"457",2022-06-10,1613,5159,"30-39"
"458",2022-06-10,496,5159,"21 and under"
"459",2022-06-10,894,5159,"40-49"
"460",2022-06-10,636,5159,"all ages 50+"
"461",2021-06-11,1557,4848,"30-39"
"462",2021-06-11,827,4848,"40-49"
"463",2021-06-11,397,4848,"21 and under"
"464",2021-06-11,1325,4848,"22-29"
"465",2021-06-11,737,4848,"all ages 50+"
"466",2020-06-12,731,2364,"30-39"
"467",2020-06-12,386,2364,"40-49"
"468",2020-06-12,321,2364,"all ages 50+"
"469",2020-06-12,698,2364,"22-29"
"470",2020-06-12,227,2364,"21 and under"
"471",2022-06-17,1517,5212,"22-29"
"472",2022-06-17,920,5212,"40-49"
"473",2022-06-17,1621,5212,"30-39"
"474",2022-06-17,503,5212,"21 and under"
"475",2022-06-17,650,5212,"all ages 50+"
"476",2021-06-18,1551,4868,"30-39"
"477",2021-06-18,845,4868,"40-49"
"478",2021-06-18,392,4868,"21 and under"
"479",2021-06-18,1338,4868,"22-29"
"480",2021-06-18,737,4868,"all ages 50+"
"481",2020-06-19,697,2374,"22-29"
"482",2020-06-19,394,2374,"40-49"
"483",2020-06-19,317,2374,"all ages 50+"
"484",2020-06-19,221,2374,"21 and under"
"485",2020-06-19,744,2374,"30-39"
"486",2022-06-24,1533,5269,"22-29"
"487",2022-06-24,947,5269,"40-49"
"488",2022-06-24,1636,5269,"30-39"
"489",2022-06-24,652,5269,"all ages 50+"
"490",2022-06-24,500,5269,"21 and under"
"491",2021-06-25,1582,4964,"30-39"
"492",2021-06-25,412,4964,"21 and under"
"493",2021-06-25,860,4964,"40-49"
"494",2021-06-25,740,4964,"all ages 50+"
"495",2021-06-25,1358,4964,"22-29"
"496",2020-06-26,316,2380,"all ages 50+"
"497",2020-06-26,746,2380,"30-39"
"498",2020-06-26,402,2380,"40-49"
"499",2020-06-26,685,2380,"22-29"
"500",2020-06-26,230,2380,"21 and under"
"501",2022-03-04,1495,5146,"22-29"
"502",2022-03-04,892,5146,"40-49"
"503",2022-03-04,696,5146,"all ages 50+"
"504",2022-03-04,1563,5146,"30-39"
"505",2022-03-04,496,5146,"21 and under"
"506",2021-03-05,1414,4466,"30-39"
"507",2021-03-05,667,4466,"all ages 50+"
"508",2021-03-05,396,4466,"21 and under"
"509",2021-03-05,1242,4466,"22-29"
"510",2021-03-05,745,4466,"40-49"
"511",2020-03-06,807,3127,"22-29"
"512",2020-03-06,931,3127,"30-39"
"513",2020-03-06,583,3127,"all ages 50+"
"514",2020-03-06,546,3127,"40-49"
"515",2020-03-06,258,3127,"21 and under"
"516",2022-03-11,1479,5127,"22-29"
"517",2022-03-11,1559,5127,"30-39"
"518",2022-03-11,702,5127,"all ages 50+"
"519",2022-03-11,495,5127,"21 and under"
"520",2022-03-11,888,5127,"40-49"
"521",2021-03-12,1461,4557,"30-39"
"522",2021-03-12,1249,4557,"22-29"
"523",2021-03-12,766,4557,"40-49"
"524",2021-03-12,684,4557,"all ages 50+"
"525",2021-03-12,396,4557,"21 and under"
"526",2020-03-13,830,3183,"22-29"
"527",2020-03-13,584,3183,"all ages 50+"
"528",2020-03-13,946,3183,"30-39"
"529",2020-03-13,551,3183,"40-49"
"530",2020-03-13,269,3183,"21 and under"
"531",2022-03-18,1463,5109,"22-29"
"532",2022-03-18,1563,5109,"30-39"
"533",2022-03-18,499,5109,"21 and under"
"534",2022-03-18,700,5109,"all ages 50+"
"535",2022-03-18,879,5109,"40-49"
"536",2021-03-19,1483,4611,"30-39"
"537",2021-03-19,406,4611,"21 and under"
"538",2021-03-19,1256,4611,"22-29"
"539",2021-03-19,785,4611,"40-49"
"540",2021-03-19,678,4611,"all ages 50+"
"541",2020-03-20,970,3263,"30-39"
"542",2020-03-20,590,3263,"all ages 50+"
"543",2020-03-20,859,3263,"22-29"
"544",2020-03-20,272,3263,"21 and under"
"545",2020-03-20,571,3263,"40-49"
"546",2022-03-25,1457,5087,"22-29"
"547",2022-03-25,689,5087,"all ages 50+"
"548",2022-03-25,1560,5087,"30-39"
"549",2022-03-25,879,5087,"40-49"
"550",2022-03-25,498,5087,"21 and under"
